,ASDC,B Cell,CD1C,CLEC9A,Eccrine,Endothelial Cell,Fibroblast,Keratinocyte,LC,MDSC,Mac,Melanocyte,Multiplet,NK,PDC,Pilosebaceous,TSK,Tcell,Tumor_KC_Basal,Tumor_KC_Cyc,Tumor_KC_Diff
38x46,0.01541894,0.009014883,0.12818606,0.034720458,1.7853714e-05,0.0032943892,0.028186304,0.23551989,0.073493324,0.0151257375,0.106123894,0.029864993,0.011415785,0.009075905,0.02711991,0.060954683,0.013642875,0.04142861,0.04878746,0.02907876,0.079529256
38x48,0.01636025,0.007841334,0.12419044,0.03608271,9.950316e-06,0.0021739947,0.027962036,0.2407459,0.07833413,0.013946883,0.104424,0.029601641,0.013090563,0.009241649,0.029397095,0.056732096,0.014858795,0.04067757,0.049275048,0.028696168,0.07635782
38x50,0.01668463,0.009274615,0.12403342,0.031890493,0.0016375844,0.0031823155,0.033881318,0.24194038,0.07710709,0.013737766,0.09865789,0.028246997,0.013136363,0.007031143,0.026797295,0.061601542,0.013579717,0.044293568,0.047377918,0.028774126,0.077133834
38x52,0.014254223,0.0067333044,0.12877938,0.03013285,9.979004e-06,0.001375868,0.022625947,0.2598904,0.07990403,0.014193269,0.10222579,0.03815828,0.010584911,0.0033217287,0.02790776,0.058110997,0.010160158,0.04076255,0.044135697,0.02705149,0.07968143
39x21,0.014895702,0.013336705,0.11899069,0.037179008,0.0025780688,0.003642314,0.017620953,0.24010956,0.0653298,0.016419936,0.09739105,0.031325106,0.016681068,0.005144173,0.028925395,0.062129743,0.023802426,0.036916774,0.050772093,0.036649562,0.08015991
39x23,0.008160923,0.015215614,0.12458267,0.028555963,1.1705978e-06,4.3364907e-05,0.015506358,0.2692414,0.06395648,0.014253065,0.10862618,0.032178294,0.015791833,3.4087527e-05,0.015157464,0.06992711,0.016649703,0.043145686,0.04591704,0.030161628,0.082893975
39x25,0.014026786,0.010998127,0.115263455,0.027715344,0.0017407807,0.007141755,0.030999849,0.2523902,0.06397433,0.014395181,0.08931121,0.026705414,0.038288027,0.0041786726,0.020935157,0.058728505,0.015873631,0.050700817,0.042582903,0.033067055,0.08098284
39x27,0.018605867,0.008722813,0.11775958,0.04045723,0.0003573415,0.0037547927,0.016412742,0.24250951,0.067614414,0.01308503,0.08756197,0.030558817,0.020765314,0.0040207244,0.03944765,0.057225414,0.026479555,0.032218717,0.048785996,0.04235547,0.08130104
39x29,0.012913086,0.014582551,0.1130983,0.03402601,2.1380325e-05,0.002313945,0.016254852,0.22383049,0.06058669,0.017303556,0.09340372,0.03541827,0.028220206,0.0044831717,0.03687022,0.07058564,0.019561686,0.03714896,0.052918162,0.036607273,0.08985174
39x31,0.010025321,0.016845154,0.10374802,0.018805841,8.915921e-06,0.004479831,0.02286843,0.21281876,0.055590626,0.022737982,0.10607449,0.040841438,0.052822717,0.010807029,0.008923643,0.07768495,0.013189508,0.05348373,0.046784956,0.031109098,0.090349555
39x33,0.010381522,0.012916273,0.10586849,0.017994655,1.2928122e-05,0.0071186535,0.022008786,0.24356884,0.07842753,0.035914283,0.085166685,0.0723873,0.030575328,0.0055039786,0.0061022746,0.051890988,0.0075318906,0.042360578,0.035712436,0.035995554,0.0925611
39x35,0.011535093,0.012244703,0.102529414,0.03825619,4.4742694e-05,0.0048557464,0.0374962,0.23860542,0.08631276,0.015291414,0.07974345,0.055150907,0.02146091,0.0050964504,0.009906706,0.05493513,0.009814048,0.04931606,0.045256805,0.030797997,0.09134984
39x37,0.01646584,0.009751525,0.12373164,0.035320014,1.00269535e-05,0.0063111465,0.03687553,0.21489616,0.067829646,0.015567296,0.095782116,0.026138328,0.019827355,0.0067333058,0.020693153,0.06302591,0.012363014,0.046626136,0.053571343,0.032095794,0.096384734
39x39,0.012710229,0.012028571,0.117318675,0.03394454,4.7723825e-06,0.0053101094,0.037878197,0.22055325,0.065201186,0.0129829785,0.10019173,0.0294938,0.024276363,0.005015637,0.013543096,0.072540514,0.0092121735,0.053186513,0.059307244,0.027592815,0.08770762
39x41,0.015221291,0.01093951,0.12747566,0.03540017,5.3466515e-06,0.0048958235,0.029389346,0.21726961,0.06480936,0.014428067,0.10831659,0.031075852,0.013366553,0.0051998086,0.023529444,0.06533426,0.013706311,0.04528423,0.055125352,0.030610796,0.08861651
39x43,0.017261654,0.006542541,0.13393448,0.033008423,1.2130677e-05,0.018715747,0.02720279,0.22638941,0.0691764,0.015705489,0.100190595,0.032762554,0.013869923,0.006255395,0.01755949,0.057414334,0.010841259,0.04728796,0.05375399,0.028393589,0.083721876
39x45,0.01710428,0.0072715892,0.13114059,0.031702254,2.4164881e-05,0.011991884,0.032854047,0.23826025,0.07467094,0.013391998,0.096321106,0.029512282,0.012095196,0.007352079,0.019395782,0.05883136,0.010947662,0.046282217,0.051742684,0.027303318,0.08180435
39x47,0.0151882125,0.008144634,0.12626295,0.0273337,1.24719645e-05,0.002452053,0.032669947,0.23800656,0.07407578,0.015300527,0.109781094,0.027423376,0.011494814,0.029600775,0.022225438,0.05511134,0.014580843,0.0324018,0.05013504,0.029712465,0.07808616
39x49,0.015473439,0.00944238,0.122228205,0.032206774,0.0013749336,0.0030426935,0.02881276,0.2448409,0.077246316,0.016347691,0.10295619,0.036335193,0.0134894755,0.00781248,0.022610683,0.057655137,0.014269231,0.04321766,0.0448468,0.02838945,0.077401586
39x51,0.013094578,0.0034336075,0.13384308,0.030321252,1.326927e-06,2.4236708e-05,0.025127685,0.27019653,0.084211305,0.009693546,0.10317357,0.033385694,0.008420987,0.00019990871,0.022319324,0.057014722,0.009090032,0.04364314,0.046933237,0.024621781,0.08125047
39x53,0.017032608,0.009436021,0.12531307,0.034555934,0.0029534355,0.004403465,0.022317303,0.24415275,0.07555899,0.014887462,0.09980633,0.03242939,0.0127514945,0.0060691917,0.04020802,0.05341028,0.015481095,0.03761962,0.045483995,0.029020702,0.07710883
40x22,0.013951635,0.014925656,0.11558015,0.030591238,0.0028317382,0.0036559473,0.01817825,0.24070291,0.066044174,0.018945016,0.102302514,0.03935629,0.017298616,0.0059682643,0.019831669,0.06725942,0.022714544,0.039631553,0.04664365,0.033719324,0.079867564
40x24,0.014584033,0.009625091,0.12161897,0.0417081,3.7954321e-06,0.0010013403,0.016027192,0.2609915,0.06884088,0.013351363,0.094968855,0.031966478,0.01718774,0.002368365,0.027498126,0.06189464,0.022284638,0.035462294,0.04784313,0.032456335,0.07831712
40x26,0.016598474,0.009353107,0.11705039,0.046032686,0.002205854,0.0039883973,0.017337315,0.24996367,0.06959703,0.012208218,0.085561685,0.03056125,0.01927352,0.0051760627,0.039877012,0.053137608,0.026580011,0.031611055,0.04925037,0.03660371,0.078032546
40x28,0.020979315,0.010712687,0.120465584,0.04590194,0.0016690586,0.0031419864,0.0128615955,0.23939556,0.067171834,0.014197378,0.08561429,0.03517118,0.017548159,0.004471998,0.04071352,0.0587749,0.023654515,0.028186353,0.05029199,0.039877407,0.079198726
40x30,0.009733366,0.026229573,0.107157335,0.02469485,8.3063005e-06,0.0018376441,0.017463814,0.21311496,0.06397108,0.021464698,0.09448092,0.05854399,0.04293394,0.008419939,0.011745591,0.078236036,0.0130357295,0.038158715,0.046214577,0.034564607,0.087990284
40x32,0.022890598,0.010147383,0.10887066,0.017223928,1.1946235e-05,0.020879788,0.027314866,0.23376215,0.0652607,0.022486476,0.08636563,0.045782696,0.043561343,0.005284015,0.006202184,0.049397226,0.0070983996,0.05095857,0.04163818,0.032206643,0.10265667
40x34,0.014023324,0.013131079,0.108442165,0.026312195,5.931794e-06,0.004519805,0.041093353,0.22640696,0.08137769,0.015663242,0.08314337,0.043370277,0.02375719,0.0061220033,0.010059651,0.061117277,0.00952508,0.05142533,0.051463258,0.033787783,0.09525299
40x36,0.016461374,0.011665062,0.12020631,0.037192438,6.6056236e-06,0.004917478,0.032678187,0.21436256,0.07226394,0.014566949,0.092388086,0.035384625,0.016627667,0.0057453983,0.02111439,0.059627444,0.012927657,0.04343185,0.05542002,0.037034597,0.09597738
40x38,0.013604075,0.0078214,0.1206892,0.032660935,6.915538e-06,0.013747298,0.039209194,0.21802889,0.07370774,0.015160111,0.09593231,0.030964816,0.017917933,0.006063296,0.011647751,0.061110497,0.009936111,0.053469587,0.053946037,0.028992204,0.095383726
40x40,0.01330027,0.009365284,0.12128141,0.03836247,5.953702e-06,0.0031596818,0.032721885,0.21670277,0.06818749,0.014174749,0.10369992,0.032089002,0.014391071,0.0041730073,0.02495678,0.06564868,0.012202069,0.04763699,0.056575276,0.030096658,0.09126858
40x42,0.019392146,0.007073856,0.13335852,0.031497303,1.0571633e-05,0.021044053,0.025963705,0.22488044,0.069209665,0.0152561,0.10049278,0.040769696,0.0123079615,0.0062324773,0.015854245,0.053554583,0.009980179,0.045653813,0.051903132,0.028393993,0.0871708
40x44,0.016695,0.0075232824,0.1312143,0.039024595,1.42799145e-05,0.0075266017,0.027106298,0.23332353,0.07631881,0.0133112725,0.097957395,0.032606542,0.011899022,0.0067970273,0.028252725,0.05372539,0.01365041,0.03906069,0.05250879,0.029802164,0.0816818
40x46,0.0149969775,0.009506041,0.12928143,0.032111112,1.5951946e-05,0.0035537558,0.028433204,0.23923405,0.0755428,0.015390287,0.10322166,0.03249772,0.012812079,0.009315835,0.024691196,0.059097853,0.013283495,0.041685954,0.0471765,0.028386129,0.07976595
40x48,0.015174476,0.009014593,0.124290705,0.02860225,0.001394951,0.0026946054,0.032688215,0.24288611,0.074556254,0.01642374,0.104927815,0.033423502,0.0125717465,0.009993835,0.020710649,0.058778107,0.0122751305,0.046356823,0.046860084,0.027793752,0.07858267
40x50,0.013990258,0.0063840877,0.12622733,0.029646352,4.2823776e-06,0.0029903003,0.03355805,0.2587017,0.084091745,0.0111695565,0.09731869,0.027063577,0.012156783,0.0051835384,0.024341488,0.054443866,0.0112827625,0.046452332,0.049141195,0.026578939,0.07927318
